time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,gust_CA_dmean,gust_CA_dmax,humid_CA_dmean,humid_CA_dmax,humid_CA_dmin
1/01/2000,3.7733395,6.457245,0.1876113,1.5319505,3.120236,7.0580173,10.612492,0.001583735,0.004570007,0.001312256
2/01/2000,4.060009,7.462433,1.1987898,1.4028159,2.769164,7.843052,9.024107,0.001312256,0.001312256,0.001312256
3/01/2000,5.0650544,13.108582,0,1.9801935,3.0225334,6.419522,8.055122,0.001312256,0.001312256,0.001312256
4/01/2000,8.016308,16.15866,0,2.530515,3.375188,7.3440266,8.782448,0.001312256,0.001312256,0.001312256
5/01/2000,8.433831,15.74411,0,1.9273869,2.9524548,6.41874,8.64324,0.001312256,0.001312256,0.001312256
6/01/2000,7.104004,14.046295,0,3.0107238,3.6764908,10.474456,12.365891,0.001312256,0.001312256,0.001312256
7/01/2000,7.137455,14.9313965,0,2.3280823,3.0523357,6.0358186,8.130983,0.001312256,0.001312256,0.001312256
8/01/2000,7.271881,15.271942,0,1.9420682,2.7753313,5.54419,7.338747,0.001312256,0.001312256,0.001312256
9/01/2000,8.262328,15.471008,0,1.3440913,2.7025602,4.842544,8.560341,0.001312256,0.001312256,0.001312256
10/01/2000,8.236,15.576294,0,1.0863074,2.2817454,5.8673806,8.180254,0.001312256,0.001312256,0.001312256
11/01/2000,9.895951,16.189941,0,1.1559099,2.424666,6.0921607,9.24387,0.001312256,0.001312256,0.001312256
12/01/2000,9.31981,16.157013,0,1.0735939,2.1381087,6.52735,8.36013,0.001312256,0.001312256,0.001312256
13/01/2000,9.772911,19.690796,0,1.4068793,2.6286547,4.7541375,5.9138165,0.001312256,0.001312256,0.001312256
14/01/2000,12.468887,20.91806,0,1.6005383,2.435983,4.871741,6.6677322,0.001312256,0.001312256,0.001312256
15/01/2000,13.788775,20.33075,0,2.0762563,4.0575495,5.723806,12.631795,0.001312256,0.001312256,0.001312256
16/01/2000,10.9314995,16.515656,0.020405743,0.9143114,1.9682637,6.9863925,9.002993,0.001312256,0.001312256,0.001312256
17/01/2000,12.351055,16.242584,0.003350247,1.027744,1.6693605,6.669622,8.739435,0.001312256,0.001312256,0.001312256
18/01/2000,14.095046,19.572357,0,1.7673111,2.9207816,5.8156343,9.384642,0.001312256,0.001312256,0.001312256
19/01/2000,13.005893,17.440247,0,1.1674701,3.1874475,4.927757,8.689383,0.001312256,0.001312256,0.001312256
20/01/2000,12.644714,15.80661,0.011877995,1.15096,3.264201,5.5659904,10.403679,0.001312256,0.001312256,0.001312256
21/01/2000,10.863023,14.344086,0.098981895,1.3538254,2.8694382,7.43996,9.500387,0.001312256,0.001312256,0.001312256
22/01/2000,8.344033,12.239929,0,0.8526311,2.304503,5.281676,7.867426,0.001312256,0.001312256,0.001312256
23/01/2000,9.550403,14.571106,0,1.0542581,2.0693645,4.416739,7.102562,0.001312256,0.001312256,0.001312256
24/01/2000,11.488178,16.398865,0,1.0018114,2.6027904,6.1103764,9.242306,0.001312256,0.001312256,0.001312256
25/01/2000,11.030141,15.722717,0.18670018,0.98231673,1.991762,7.1468472,8.885681,0.001312256,0.001312256,0.001312256
26/01/2000,9.25085,12.871674,0.42365575,1.2882593,2.0212119,7.94912,9.256382,0.001312256,0.001312256,0.001312256
27/01/2000,8.267601,15.137054,0,1.5489559,2.6580365,5.180039,8.829372,0.001312256,0.001312256,0.001312256
28/01/2000,8.122074,14.408234,0,1.5890938,2.8955567,5.2876716,7.552252,0.001312256,0.001312256,0.001312256
29/01/2000,8.153679,14.148315,0,2.4321377,3.1377983,6.321731,8.084061,0.001312256,0.001312256,0.001312256
30/01/2000,7.182901,12.327118,0.000913627,1.2374599,2.8964345,5.4885983,9.960245,0.001312256,0.001312256,0.001312256
31/01/2000,8.015212,10.58493,0.09349929,1.5601355,2.2173889,7.499104,8.78323,0.001312256,0.001312256,0.001312256
1/02/2000,9.480626,17.6221,0,2.1735923,3.2600458,7.2193913,9.276861,0.003219605,0.003219605,0.003219605
2/02/2000,11.9973755,19.25418,0,2.9615648,3.6974208,9.120623,11.698501,0.002779007,0.003219605,-0.000305176
3/02/2000,11.014832,17.782684,0,2.3984916,3.5051475,7.4058547,10.657053,0.002925873,0.003219605,-0.000305176
4/02/2000,9.752303,15.647675,0,1.2021552,2.8773038,5.930084,8.894407,0.003219605,0.003219605,0.003219605
