time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,humid_CA_dmean,humid_CA_dmin
1/01/2018,11.538753,20.48822,0,1.2427263,2.4826298,0.001663208,0.001663208
2/01/2018,13.48548,22.383575,0,1.6307138,2.4928753,0.001663208,0.001663208
3/01/2018,13.687337,20.140778,0,2.117878,3.0788393,0.001663208,0.001663208
4/01/2018,14.014755,20.275818,0,1.1394708,2.6440663,0.001663208,0.001663208
5/01/2018,13.322048,20.109497,0,1.164944,2.331878,0.001663208,0.001663208
6/01/2018,13.747031,18.68509,0,1.2823528,2.8756132,0.004754702,0.001663208
7/01/2018,12.691367,18.94693,0,1.2589322,2.7559152,0.010665576,0.004890442
8/01/2018,13.298171,18.354126,0.3683369,1.5498118,2.3361254,0.007172267,0.001663208
9/01/2018,10.048291,12.628571,8.989025,2.1577914,4.3133373,0.001663208,0.001663208
10/01/2018,7.5002456,11.271698,0.8108452,1.1196328,2.7290854,0.001663208,0.001663208
11/01/2018,9.858098,19.45575,0,1.3503634,2.2818916,0.001663208,0.001663208
12/01/2018,13.170826,20.731934,0,0.9568052,1.7430018,0.001663208,0.001663208
13/01/2018,14.045284,22.576233,0,2.822979,3.511617,0.001663208,0.001663208
14/01/2018,14.942459,22.391815,0,2.46501,3.2414703,0.001663208,0.001663208
15/01/2018,12.787147,20.000824,0,1.5161414,2.3975623,0.001663208,0.001663208
16/01/2018,13.572206,19.676422,0,1.2642554,2.746465,0.001663208,0.001663208
17/01/2018,13.213571,21.866516,0,1.6060047,2.6656694,0.001663208,0.001663208
18/01/2018,14.172011,22.151398,0,2.1697671,3.2481472,0.001663208,0.001663208
19/01/2018,12.6257715,19.482086,0,1.2282223,3.1050663,0.001663208,0.001663208
20/01/2018,7.5716705,12.546265,3.1022906,1.8317207,3.0088964,0.001663208,0.001663208
21/01/2018,5.584741,12.116455,0.08963775,1.3761702,2.4991355,0.001663208,0.001663208
22/01/2018,6.960344,15.180939,0,1.6678376,2.501039,0.001663208,0.001663208
23/01/2018,9.190507,18.192749,0,2.1101446,3.0112946,0.001663208,0.001663208
24/01/2018,10.862789,19.442596,0,2.437499,3.5828128,0.001663208,0.001663208
25/01/2018,9.28814,18.648865,0.03061574,1.4489278,4.033784,0.001663208,0.001663208
26/01/2018,7.3517075,14.709991,0.041663926,1.1552812,2.998679,0.002066612,0.001663208
27/01/2018,8.643257,17.209686,0,2.2217493,3.1215205,0.002873421,0.001663208
28/01/2018,13.530768,22.103638,0,3.2926903,3.8821986,0.002066612,0.001663208
29/01/2018,16.080385,23.987427,0,3.0493653,3.7673414,0.001663208,0.001663208
30/01/2018,15.209087,22.396729,0,2.3359642,3.4157722,0.001663208,0.001663208
31/01/2018,14.134961,23.768433,0,1.2755839,2.1828089,0.002066612,0.001663208
1/02/2018,14.440517,23.53952,2.01E-05,1.5523974,2.3186834,0.002167066,0.00202179
2/02/2018,14.848887,24.769043,2.01E-05,1.7053741,2.629061,0.002457619,0.00202179
3/02/2018,15.70254,24.553192,2.01E-05,1.2970407,2.1155236,0.00202179,0.00202179
4/02/2018,16.01078,24.77063,2.01E-05,1.5837752,2.3455403,0.00202179,0.00202179
5/02/2018,15.50295,24.398102,2.01E-05,1.4640917,2.6553702,0.00202179,0.00202179
6/02/2018,14.913178,22.700134,2.01E-05,1.1145769,2.698343,0.00202179,0.00202179
7/02/2018,14.330333,22.632996,2.01E-05,2.2090478,3.2369792,0.002457619,0.00202179
8/02/2018,14.779338,24.884155,2.01E-05,2.0480917,2.8803453,0.00202179,0.00202179
9/02/2018,14.931899,24.446075,2.01E-05,1.5954088,3.0581656,0.001876195,-0.001472473
10/02/2018,13.004696,21.136475,2.01E-05,1.2830638,3.1457386,0.000857035,-0.001472473
11/02/2018,10.708824,18.234558,2.01E-05,2.256127,4.020828,0.001585007,-0.001472473
12/02/2018,9.691494,17.059418,1.3058226,2.306276,4.2225657,0.001439413,-0.001472473
13/02/2018,7.1604614,14.437317,0.5427316,1.7920007,3.157228,0.001585007,-0.001472473
14/02/2018,9.241286,14.226288,0.08860594,1.8178769,3.3214695,-0.001326879,-0.001472473
15/02/2018,10.469331,16.440674,0.011209957,1.4793104,2.4132257,0.000420252,-0.001472473
16/02/2018,10.441417,18.135437,2.01E-05,2.003836,2.7912486,0.00202179,0.00202179
17/02/2018,11.473138,20.202728,2.01E-05,1.581499,2.3656292,0.00202179,0.00202179
18/02/2018,10.649334,19.54242,2.01E-05,1.6138924,3.9196565,0.00202179,0.00202179
19/02/2018,6.224939,13.553162,1.8479137,3.2317655,5.978279,0.00202179,0.00202179
20/02/2018,2.3746643,9.089203,0.12497334,1.3617811,4.817811,0.00202179,0.00202179
21/02/2018,3.786307,9.175537,0.138029,1.327166,2.4045994,0.00202179,0.00202179
22/02/2018,3.029719,7.5543213,0.41373575,1.7322192,4.5163774,0.00202179,0.00202179
23/02/2018,3.5443485,6.6925354,1.6912518,2.0469117,3.5310335,0.00202179,0.00202179
24/02/2018,3.7482655,11.274811,2.01E-05,1.7740773,2.8850796,0.00202179,0.00202179
25/02/2018,5.990107,14.173523,2.01E-05,1.6921722,3.090695,0.001876195,-0.001472473
26/02/2018,7.7129273,14.389343,2.01E-05,1.5029804,3.651944,0.00202179,0.00202179
27/02/2018,4.543026,11.33078,1.3375255,1.9625345,3.6182954,0.00202179,0.00202179
28/02/2018,2.9272625,10.460999,0.085186124,1.2191398,3.0371723,0.00202179,0.00202179
1/03/2018,5.886931,12.209747,0,1.4921318,3.0587633,-0.00088501,-0.001350403
2/03/2018,6.657285,11.787842,0.007653516,1.4087361,2.9233813,0.000666301,-0.001350403
3/03/2018,7.730541,9.910645,1.6531779,2.3801773,3.7366295,0.001752218,-0.001350403
4/03/2018,4.9921,11.352264,0.9051299,1.300479,3.189921,0.002372742,0.002372742
5/03/2018,8.043759,16.092255,0,2.3501897,3.2424788,0.002217611,-0.001350403
6/03/2018,11.144099,19.675842,0,2.3566134,3.2239788,0.000356038,-0.001350403
7/03/2018,11.471489,19.158295,0,1.6797572,2.773675,0.000666301,-0.001350403
8/03/2018,13.27752,20.384705,0,1.3642186,2.809056,0.001597087,-0.001350403
9/03/2018,12.934189,19.417908,0,1.6060948,3.5563881,0.001752218,-0.001350403
10/03/2018,11.359962,17.22815,0.005817879,1.0240269,2.8552933,0.002372742,0.002372742
11/03/2018,10.966887,16.847229,1.3080899,1.2646291,2.1424236,0.002372742,0.002372742
12/03/2018,13.70995,20.676788,0.00887895,1.5193089,3.0687923,0.002372742,0.002372742
13/03/2018,14.590123,20.345428,0.06889506,1.3854033,3.1417997,0.002372742,0.002372742
14/03/2018,11.704857,17.132477,2.7950068,2.6115484,4.6721582,0.002372742,0.002372742
15/03/2018,8.072442,11.577759,4.11229,2.568426,3.9409213,0.002372742,0.002372742
16/03/2018,6.81706,10.882538,0.029087719,1.8725296,3.6480298,0.002372742,0.002372742
17/03/2018,6.598928,9.644196,2.2095485,2.3424382,4.4269896,0.002372742,0.002372742
18/03/2018,5.991768,13.236298,0.40357187,1.209765,3.3854713,0.002372742,0.002372742
19/03/2018,9.346757,17.699585,0,1.5906702,2.5854962,0.002372742,0.002372742
20/03/2018,11.9287615,19.113892,0,1.653184,2.502164,0.002372742,0.002372742
21/03/2018,13.307906,17.933594,0.41949666,1.1566328,2.5535846,0.002372742,0.002372742
22/03/2018,12.998601,15.180115,1.1892865,1.3537813,2.5542517,0.002372742,0.002372742
23/03/2018,11.379252,16.527802,2.2392514,1.5305747,3.4219592,0.002372742,0.002372742
24/03/2018,10.295035,15.067383,0.078691825,1.7375088,3.6750956,0.002372742,0.002372742
25/03/2018,7.7739525,11.681946,0.1264561,2.1890285,3.66032,0.002372742,0.002372742
26/03/2018,7.517597,13.606964,0.31048664,1.6506395,3.2724206,0.002372742,0.002372742
27/03/2018,9.77905,17.562927,0,1.8678751,3.2607012,0.002372742,0.002372742
28/03/2018,12.830497,22.01593,0,1.4160279,3.2206695,0.002372742,0.002372742
29/03/2018,15.393355,23.378998,0,1.4460278,3.3101804,0.002372742,0.002372742
30/03/2018,16.743822,25.816467,0,1.5855216,3.6806793,0.002372742,0.002372742
31/03/2018,17.226501,23.787231,0,1.7390885,3.997357,0.002372742,0.002372742
1/04/2018,15.02723,20.822662,2.01E-05,1.3628764,3.166832,-0.00025177,-0.00025177
2/04/2018,13.158219,19.096039,2.01E-05,1.4873713,3.5786855,-0.00025177,-0.00025177
3/04/2018,14.219039,22.439362,0.25311336,1.2865905,3.0668378,-0.00025177,-0.00025177
4/04/2018,15.24471,21.529633,2.01E-05,1.618847,3.7896485,-0.00025177,-0.00025177
5/04/2018,15.246053,21.774109,2.01E-05,1.5364493,3.2773635,-0.00025177,-0.00025177
6/04/2018,15.16906,20.29956,0.09188745,1.6139764,3.5776918,-0.00025177,-0.00025177
7/04/2018,15.757866,21.21878,0.006102864,1.8263274,4.481757,-0.00025177,-0.00025177
8/04/2018,16.83227,25.189453,0.038348883,1.4245645,3.6701536,-0.00025177,-0.00025177
9/04/2018,19.115555,28.481598,2.01E-05,1.8134922,3.0614676,-0.00025177,-0.00025177
10/04/2018,20.988588,28.928894,2.01E-05,1.7042174,4.4860005,-0.00025177,-0.00025177
11/04/2018,19.869963,26.908478,2.01E-05,1.840247,4.5953603,-0.00025177,-0.00025177
12/04/2018,12.959923,23.324463,0.018272549,2.8565958,4.6290126,-0.00025177,-0.00025177
13/04/2018,12.056735,20.7677,2.01E-05,2.5083816,4.1968102,-0.00025177,-0.00025177
14/04/2018,15.852944,25.0094,2.01E-05,2.10851,2.9581895,-0.00025177,-0.00025177
15/04/2018,16.801704,24.230438,2.01E-05,1.8525372,3.7952542,-0.00025177,-0.00025177
16/04/2018,13.493768,21.387482,0.08002455,2.5573814,5.272435,-0.00025177,-0.00025177
17/04/2018,8.592353,18.250732,0.06663865,1.8209451,4.7168765,-0.00025177,-0.00025177
18/04/2018,12.294827,20.036102,2.01E-05,2.0596411,4.6626725,-0.00025177,-0.00025177
19/04/2018,8.909736,17.43576,0.2941788,2.7575443,4.6367936,-0.00025177,-0.00025177
20/04/2018,10.214576,23.08377,0.6640848,1.4384327,4.243218,-0.00025177,-0.00025177
21/04/2018,16.808887,26.783386,2.01E-05,1.6036733,3.720135,-0.00025177,-0.00025177
22/04/2018,19.625624,27.41452,2.01E-05,1.8586317,4.462067,-0.00025177,-0.00025177
23/04/2018,19.17739,27.18332,2.01E-05,1.8091965,4.5295815,-0.00025177,-0.00025177
24/04/2018,18.72686,25.813019,2.01E-05,1.8121743,4.1590886,-0.00025177,-0.00025177
25/04/2018,18.339348,25.748566,2.01E-05,1.5818372,3.5492053,-0.00025177,-0.00025177
26/04/2018,17.582098,24.323303,2.01E-05,1.571558,3.5726476,-0.00025177,-0.00025177
27/04/2018,16.223879,23.258148,2.01E-05,1.64174,3.65331,-0.00025177,-0.00025177
28/04/2018,14.437158,21.133514,2.01E-05,1.7214369,3.835605,-0.00025177,-0.00025177
29/04/2018,12.841072,18.612762,2.01E-05,2.1088972,4.11129,-0.00025177,-0.00025177
30/04/2018,11.408776,16.018066,0.004584063,2.3246968,4.0124025,-0.00025177,-0.00025177
1/05/2018,8.690876,13.123718,1.4869086,2.659672,3.4424973,0.001800537,0.001800537
2/05/2018,7.271692,11.965759,1.0344576,1.834571,3.02702,0.001800537,0.001800537
3/05/2018,12.266006,22.791534,0.03931448,1.3485599,2.8730772,0.001800537,0.001800537
4/05/2018,18.050714,27.90924,0,1.3925811,2.7484517,0.001800537,0.001800537
5/05/2018,20.862112,30.211823,0,1.4872164,2.6776345,0.001800537,0.001800537
6/05/2018,22.684835,29.28357,0,1.827766,3.6577547,0.001800537,0.001800537
7/05/2018,20.833008,27.38913,0,1.6432406,3.7053645,0.001800537,0.001800537
8/05/2018,21.031296,28.074371,0,1.6827116,3.5038576,0.001800537,0.001800537
9/05/2018,22.18077,30.320038,0,1.5256839,3.6355178,0.001800537,0.001800537
10/05/2018,20.844553,28.896332,0,1.6060357,3.7731652,0.001800537,0.001800537
11/05/2018,16.017282,23.550842,0,2.1102595,3.6242335,0.001800537,0.001800537
12/05/2018,11.886516,16.548157,0.005359389,2.3974874,3.5851285,0.001800537,0.001800537
13/05/2018,12.557549,18.499573,0.008635037,2.1493301,3.2989025,0.001800537,0.001800537
14/05/2018,13.7425375,20.860992,0,1.716042,4.1148095,0.001800537,0.001800537
15/05/2018,14.627997,22.436554,0,1.747301,3.728439,0.001800537,0.001800537
16/05/2018,15.926248,23.80899,0,1.5762445,3.5699778,0.001800537,0.001800537
17/05/2018,15.165047,22.423279,0,1.8956413,3.979185,0.001800537,0.001800537
18/05/2018,14.359943,21.001465,0,1.7610983,3.667826,0.001800537,0.001800537
19/05/2018,15.682004,21.451355,0,1.5749716,3.3939655,0.001800537,0.001800537
20/05/2018,15.873806,21.717133,0,1.5990337,4.128333,0.001800537,0.001800537
21/05/2018,14.179688,19.182953,0.024422351,2.1489747,3.5305223,0.001800537,0.001800537
22/05/2018,13.651975,20.101715,0.010125339,1.848379,3.2336054,0.001800537,0.001800537
23/05/2018,15.078044,21.018555,0,1.5644331,3.2609866,0.001800537,0.001800537
24/05/2018,16.132761,21.210297,0,1.5676103,3.3935308,0.001800537,0.001800537
25/05/2018,14.15604,19.18106,0.000892673,1.9781586,3.8002152,0.001800537,0.001800537
26/05/2018,12.477112,17.871246,0.029783417,2.3167658,3.6300712,0.001800537,0.001800537
27/05/2018,14.7987585,23.41037,0,1.5826668,3.7416651,0.001800537,0.001800537
28/05/2018,18.736855,27.520111,0,1.6381198,3.4131758,0.001800537,0.001800537
29/05/2018,21.503723,29.524658,0.1754391,1.6072135,3.3441787,0.001800537,0.001800537
30/05/2018,18.090574,24.456299,0,1.5921559,3.388046,0.001800537,0.001800537
31/05/2018,16.63256,22.373932,0.000297558,1.7732129,3.4245472,0.001800537,0.001800537
1/06/2018,16.973448,27.06659,0,1.3970414,3.3370323,0.000762939,0.000762939
2/06/2018,21.497461,30.00592,0,1.6167339,3.598621,0.000762939,0.000762939
3/06/2018,24.399233,33.8024,0,1.6310314,3.8342254,0.000762939,0.000762939
4/06/2018,24.821955,32.014923,0,1.8487197,3.9083943,0.000762939,0.000762939
5/06/2018,21.821535,29.595642,0,1.8019608,3.7717364,0.000762939,0.000762939
6/06/2018,19.567356,26.101562,0,1.6978226,3.567565,0.000762939,0.000762939
7/06/2018,19.267439,26.515686,0,1.6841663,3.6756744,0.000762939,0.000762939
8/06/2018,21.6542,30.81491,0,1.6052259,3.6964324,0.000762939,0.000762939
9/06/2018,22.563192,29.279755,0,1.8264332,3.773464,0.000762939,0.000762939
10/06/2018,20.634295,28.02774,0,1.7148832,3.674898,0.000762939,0.000762939
11/06/2018,23.020338,31.421661,0,1.587787,3.503463,0.000762939,0.000762939
12/06/2018,24.822754,32.70642,0,1.7268983,3.7403367,0.000762939,0.000762939
13/06/2018,25.156464,32.650543,0,1.8974556,4.2763467,0.000762939,0.000762939
14/06/2018,24.104128,31.099976,0,1.8837729,3.8797185,0.000762939,0.000762939
